BundleNum,StartDate,EndDate,FirstTicket,LastTicket,ZenOrgId,Active,BundleSize
1,2018-08-01,2019-08-01,,,33610008,TRUE,40
1,2017-08-01,2018-07-31,,,14012927727,TRUE,20
1,2017-08-01,2018-07-31,,,15487018588,TRUE,20
1,2018-03-08,2019-03-08,,,360029307272,TRUE,40
1,2018-02-13,2019-02-12,,,360025126531,TRUE,40
1,2018-06-08,2018-07-23,46273,46966,8359913647,FALSE,40
2,2018-07-24,2019-07-23,47146,,8359913647,TRUE,80
1,2017-11-01,2018-10-31,,,37582558,TRUE,10
1,2018-06-28,2019-06-28,,,36589723,TRUE,20
1,2017-09-01,2018-08-31,,,10847387908,TRUE,10
1,2017-12-18,2018-12-17,,,14011121887,TRUE,30
1,2018-05-08,2019-05-07,,,115357166832,TRUE,120
1,2018-05-01,2019-04-30,,,36388226,TRUE,40
1,2018-07-31,2019-07-30,,,360098271031,TRUE,40
1,2018-04-16,2019-04-15,,,15334689548,TRUE,16
1,2017-12-15,2018-12-14,,,360024278871,TRUE,20
1,2018-03-01,2019-02-28,,,10413093488,TRUE,50
1,2018-05-15,2019-05-14,,,3308949468,TRUE,10
1,2018-06-01,2019-05-31,,,32053553,TRUE,20
1,2018-08-29,2019-08-28,,,360113266532,TRUE,20
1,2018-07-01,2019-06-30,,,8476115308,TRUE,10
1,2018-05-01,2019-04-30,,,39836957,TRUE,30
1,2018-06-25,2019-06-24,,,3466999257,TRUE,120
1,2018-05-17,2019-05-16,,,1937660248,TRUE,15
1,2017-12-29,2018-12-28,,,360025985352,TRUE,20
1,2018-08-29,2019-08-28,,,360114826791,TRUE,40
1,2017-06-01,2018-05-31,,,7708953168,TRUE,50
1,2017-08-01,2018-07-31,,,114114985311,TRUE,10
1,2018-07-19,2019-07-18,,,14394827788,TRUE,170
1,2018-05-01,2019-04-30,,,37641673,TRUE,10
1,2018-08-27,2019-08-26,,,360113435911,TRUE,10
1,2017-10-29,2018-10-28,,,114280905272,TRUE,40
1,2017-08-03,2018-08-02,,,114111012651,TRUE,40
1,2017-07-01,2018-06-30,,,1748701367,TRUE,20
1,2018-06-26,2019-06-25,,,15013500547,TRUE,120
1,2017-08-18,2018-08-17,,,15376495748,TRUE,20
1,2018-07-01,2019-06-30,,,32521107,TRUE,10
1,2017-12-01,2018-11-30,,,32521117,TRUE,20
1,2017-07-15,2018-07-14,,,35044617,TRUE,40
1,2017-10-01,2018-09-30,,,257032858,TRUE,10
1,2018-07-01,2019-06-30,,,785750818,TRUE,30
1,2017-12-01,2018-11-30,,,37578088,TRUE,20
1,2017-07-28,2018-07-28,,,114109557251,TRUE,20
1,2018-01-01,2019-01-01,,,6872649767,TRUE,20
1,2018-03-28,2019-03-27,,,15423793588,TRUE,10
1,2018-05-15,2019-05-14,,,33595046,TRUE,10
1,2018-06-01,2019-05-31,,,8302808608,TRUE,20
1,2018-05-01,2019-04-30,,,962298588,TRUE,40
1,2018-08-01,2019-07-31,,,329505088,TRUE,20
1,2018-06-22,2019-06-21,,,255552708,TRUE,10
1,2018-05-10,2019-05-09,,,360061170492,TRUE,20
1,2017-12-27,2018-12-26,,,14128405748,TRUE,20
1,2018-06-01,2019-05-31,,,3054429228,TRUE,10
1,2017-12-19,2018-12-18,,,6404532767,TRUE,20
1,2018-06-01,2019-05-31,,,22110597,TRUE,10
1,2018-05-22,2019-05-21,,,32521177,TRUE,30
1,2018-04-05,2019-04-04,,,32521187,TRUE,100
1,2018-07-01,2019-06-30,,,276410497,TRUE,20
1,2018-06-01,2019-05-31,,,5496889648,TRUE,30
1,2017-12-01,2018-11-30,,,14301972647,TRUE,20
1,2018-05-21,2019-05-20,,,360061242612,TRUE,20
1,2017-08-01,2018-07-31,,,38205907,TRUE,999
1,2018-03-01,2018-12-31,,,32519457,TRUE,999
1,2018-09-01,2018-11-30,,,31976746,TRUE,999
1,2018-08-02,2018-12-01,,,368101664772,TRUE,999
1,2018-02-15,2019-02-14,,,2429934017,TRUE,999
1,2017-10-01,2018-09-30,,,31976776,TRUE,999
1,2017-08-01,2018-07-31,,,257090758,TRUE,999
1,2018-03-15,2019-03-14,,,34501487,TRUE,999
1,2018-01-01,2018-12-31,,,32053623,TRUE,999
1,2018-01-01,2018-12-31,,,1828696798,TRUE,999
1,2017-08-01,2018-07-31,,,34757063,TRUE,999
1,2017-12-15,2018-12-14,,,360025230011,TRUE,999
1,2017-12-01,2018-11-30,,,38098817,TRUE,999
1,2017-11-01,2018-10-31,,,39019056,TRUE,999
1,2017-12-01,2018-11-30,,,93256828,TRUE,999
